00.00-0-00;Não informada
01.21-1-01;Horticultura, exceto morango
10.31-7-00;Fabricação de conservas de frutas
10.32-5-99;Fabricação de conservas de legumes e outros vegetais, exceto palmito
10.33-3-02;Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados
10.91-1-02;Fabricação de produtos de padaria e confeitaria com predominância de produção própria
10.92-9-00;Fabricação de biscoitos e bolachas
10.93-7-01;Fabricação de produtos derivados do cacau e de chocolates
10.93-7-02;Fabricação de frutas cristalizadas, balas e semelhantes
10.94-5-00;Fabricação de massas alimentícias
10.95-3-00;Fabricação de especiarias, molhos, temperos e condimentos
10.96-1-00;Fabricação de alimentos e pratos prontos
10.99-6-04;Fabricação de gelo comum
13.11-1-00;Preparação e fiação de fibras de algodão
13.12-0-00;Preparação e fiação de fibras têxteis naturais, exceto algodão
13.40-5-99;Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário
13.51-1-00;Fabricação de artefatos têxteis para uso doméstico
13.54-5-00;Fabricação de tecidos especiais, inclusive artefatos
13.59-6-00;Fabricação de outros produtos têxteis não especificados anteriormente
14.11-8-01;Confecção de roupas íntimas
14.11-8-02;Facção de roupas íntimas
14.12-6-01;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
14.12-6-02;Confecção, sob medida, de peças do vestuário, exceto roupas íntimas
14.12-6-03;Facção de peças do vestuário, exceto roupas íntimas
14.13-4-01;Confecção de roupas profissionais, exceto sob medida
14.13-4-02;Confecção, sob medida, de roupas profissionais
14.13-4-03;Facção de roupas profissionais
14.14-2-00;Fabricação de acessórios do vestuário, exceto para segurança e proteção
14.21-5-00;Fabricação de meias
14.22-3-00;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias
15.21-1-00;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material
15.29-7-00;Fabricação de artefatos de couro não especificados anteriormente
15.31-9-01;Fabricação de calçados de couro
18.22-9-01;Serviços de encadernação e plastificação
18.22-9-99;Serviços de acabamentos gráficos, exceto encadernação e plastificação
23.19-2-00;Fabricação de artigos de vidro
23.99-1-01;Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal
25.39-0-01;Serviços de usinagem, tornearia e solda
32.50-7-06;Serviços de prótese dentária
32.50-7-07;Fabricação de artigos ópticos
32.91-4-00;Fabricação de escovas, pincéis e vassouras
32.99-0-06;Fabricação de velas, inclusive decorativas
33.12-1-02;Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle
33.12-1-04;Manutenção e reparação de equipamentos e instrumentos ópticos
33.13-9-02;Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos
33.14-7-01;Manutenção e reparação de máquinas motrizes Não-elétricas
33.14-7-02;Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas
33.1.4-7-03;Manutenção e reparação de válvulas industriais
33.14-7-06;Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas
33.14-7-07;Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial
33.14-7-09;Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos Não-eletrônicos para escritório
33.14-7-12;Manutenção e reparação de tratores agrícolas
33.14-7-13;Manutenção e reparação de máquinas-ferramenta
33.29-5-01;Serviços de montagem de móveis de qualquer material
38.31-9-99;Recuperação de materiais metálicos, exceto alumínio
38.32-7-00;Recuperação de materiais plásticos
45.12-9-01;Representantes comerciais e agentes do comércio de veículos automotores
45.20-0-01;Serviços de manutenção e reparação mecânica de veículos automotores
45.20-0-02;Serviços de lanternagem ou funilaria e pintura de veículos automotores
45.20-0-03;Serviços de manutenção e reparação elétrica de veículos automotores
45.20-0-04;Serviços de alinhamento e balanceamento de veículos automotores
45.20-0-05;Serviços de lavagem, lubrificação e polimento de veículos automotores
45.20-0-06;Serviços de borracharia para veículos automotores
45.20-0-07;Serviços de instalação, manutenção e reparação de acessórios para veículos automotores
45.20-0-08;Serviços de capotaria
45.30-7-03;Comércio a varejo de peças e acessórios novos para veículos automotores
45.30-7-04;Comércio a varejo de peças e acessórios usados para veículos automotores
45.30-7-05;Comércio a varejo de pneumáticos e câmaras-de-ar
45.30-7-06;Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores
45.41-2-06;Comércio a varejo de peças e acessórios novos para motocicletas e motonetas
45.41-2-07;Comércio a varejo de peças e acessórios usados para motocicletas e motonetas
45.42-1-01;Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios
45.42-1-02;Comércio sob consignação de motocicletas e motonetas
45.43-9-00;Manutenção e reparação de motocicletas e motonetas
46.11-7-00;Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos
46.12-5-00;Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos
46.13-3-00;Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens
46.14-1-00;Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves
46.15-0-00;Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico
46.16-8-00;Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem
46.17-6-00;Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo
